Lang Class,Lang Subclass,Train Size,Model,Embd Dim,EarlyStop,Round #,Test Set,Accuracy,Recall,Precision
SL,SL4,1k,lstm,10,False,2,Test2,0.8560000061988831,0.8560000061988831,0.8560000061988831
SL,SL4,1k,lstm,10,True,2,Test1,0.8730000257492065,0.8730000257492065,0.8730000257492065
SL,SL4,1k,lstm,10,True,2,Test2,0.8100000023841858,0.8100000023841858,0.8100000023841858
SL,SL4,1k,lstm,10,False,3,Test1,0.9190000295639038,0.9190000295639038,0.9190000295639038
SL,SL4,1k,lstm,10,False,3,Test2,0.8569999933242798,0.8569999933242798,0.8569999933242798
SL,SL4,1k,lstm,10,True,3,Test1,0.8960000276565552,0.8960000276565552,0.8960000276565552
SL,SL4,1k,lstm,10,True,3,Test2,0.8259999752044678,0.8259999752044678,0.8259999752044678
SL,SL4,1k,lstm,30,False,1,Test1,0.9319999814033508,0.9319999814033508,0.9319999814033508
SL,SL4,1k,lstm,30,False,1,Test2,0.8640000224113464,0.8640000224113464,0.8640000224113464
SL,SL4,1k,lstm,30,True,1,Test1,0.9129999876022339,0.9129999876022339,0.9129999876022339
SL,SL4,1k,lstm,30,True,1,Test2,0.8550000190734863,0.8550000190734863,0.8550000190734863
SL,SL4,1k,lstm,30,False,2,Test1,0.9340000152587891,0.9340000152587891,0.9340000152587891
SL,SL4,1k,lstm,30,False,2,Test2,0.8659999966621399,0.8659999966621399,0.8659999966621399
SL,SL4,1k,lstm,30,True,2,Test1,0.890999972820282,0.890999972820282,0.890999972820282
SL,SL4,1k,lstm,30,True,2,Test2,0.8199999928474426,0.8199999928474426,0.8199999928474426
SL,SL4,1k,lstm,30,False,3,Test1,0.9369999766349792,0.9369999766349792,0.9369999766349792
SL,SL4,1k,lstm,30,False,3,Test2,0.8669999837875366,0.8669999837875366,0.8669999837875366
SL,SL4,1k,lstm,30,True,3,Test1,0.9049999713897705,0.9049999713897705,0.9049999713897705
SL,SL4,1k,lstm,30,True,3,Test2,0.843999981880188,0.843999981880188,0.843999981880188
SL,SL4,1k,lstm,100,False,1,Test1,0.9660000205039978,0.9660000205039978,0.9660000205039978
SL,SL4,1k,lstm,100,False,1,Test2,0.9179999828338623,0.9179999828338623,0.9179999828338623
SL,SL4,1k,lstm,100,True,1,Test1,0.9309999942779541,0.9309999942779541,0.9309999942779541
SL,SL4,1k,lstm,100,True,1,Test2,0.8569999933242798,0.8569999933242798,0.8569999933242798
SL,SL4,1k,lstm,100,False,2,Test1,0.9509999752044678,0.9509999752044678,0.9509999752044678
SL,SL4,1k,lstm,100,False,2,Test2,0.9150000214576721,0.9150000214576721,0.9150000214576721
SL,SL4,1k,lstm,100,True,2,Test1,0.9359999895095825,0.9359999895095825,0.9359999895095825
SL,SL4,1k,lstm,100,True,2,Test2,0.8650000095367432,0.8650000095367432,0.8650000095367432
SL,SL4,1k,lstm,100,False,3,Test1,0.9599999785423279,0.9599999785423279,0.9599999785423279
SL,SL4,1k,lstm,100,False,3,Test2,0.9100000262260437,0.9100000262260437,0.9100000262260437
SL,SL4,1k,lstm,100,True,3,Test1,0.9240000247955322,0.9240000247955322,0.9240000247955322
SL,SL4,1k,lstm,100,True,3,Test2,0.8460000157356262,0.8460000157356262,0.8460000157356262
SL,SL4,1k,s-rnn,10,False,1,Test1,0.9020000100135803,0.9020000100135803,0.9020000100135803
